$,int,int,Skip,int,Skip,int,int,int,Boolean,int,int,Array,Array,int,int,Array,Array,int,Array,Array,int,Array,Array
,12300047,123000471,更木剑八<灵压释放>,123000472,该灵魂装备后增加主角力量和物理攻击，且受击概率进入霸体状态,12300047,1,5,TRUE,1,12800109,"[856,2567,5134,8556,12834]","[684,2053,4107,6845,10267]",1,12800103,"[1125,1173,1222,1274,1329,1388,1450,1512,1578,1647,1719,1795,1878,1965,2055,2148,2248,2352,2462,2576,2697,2825,2957,3095,3240,3392,3554,3724,3900,4087,4284,4491,4709,4937,5175,5424,5687,5963,6254,6558,6876,7211,7563,7933,8320,8728,9157,9606,10079,10574,11095,11642,12215,12817,13449,14113,14811,15543,16311,17116,17963,18851,19784,20765,21795,22877,24014,25206,26457,27771,29150,30598,32118,33715,35391,37154,39003,40945,42984,45127]","[112,117,122,127,133,139,145,151,158,165,172,180,188,196,205,215,225,235,246,258,270,283,296,309,324,339,355,372,390,409,428,449,471,494,518,542,569,596,625,656,688,721,756,793,832,873,916,961,1008,1057,1110,1164,1222,1282,1345,1411,1481,1554,1631,1712,1796,1885,1978,2077,2180,2288,2401,2521,2646,2777,2915,3060,3212,3372,3539,3715,3900,4094,4298,4513]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15102901,15102902,15102903,15102904,15102905]",12900047,"[16600036,16600037,16600055]",[76]
,12300048,123000481,草鹿八千流,123000482,该灵魂装备后增加主角灵力和灵压强度,12300048,3,3,TRUE,1,12800111,"[81,242,485,808,1212]","[65,194,388,646,970]",1,12800122,"[125,130,136,142,148,154,161,168,175,183,191,199,209,218,228,239,250,261,274,286,300,314,329,344,360,377,395,414,433,454,476,499,523,549,575,603,632,663,695,729,764,801,840,881,924,970,1017,1067,1120,1175,1233,1294,1357,1424,1494,1568,1646,1727,1812,1902,1996,2095,2198,2307,2422,2542,2668,2801,2940,3086,3239,3400,3569,3746,3932,4128,4334,4549,4776,5014]","[12,13,14,14,15,15,16,17,18,18,19,20,21,22,23,24,25,26,27,29,30,31,33,34,36,38,39,41,43,45,48,50,52,55,58,60,63,66,69,73,76,80,84,88,92,97,102,107,112,117,123,129,136,142,149,157,165,173,181,190,200,209,220,231,242,254,267,280,294,309,324,340,357,375,393,413,433,455,478,501]",1,"[1000,1280,1560,1840,2120,2400,2680,2960,3240,3520,3800]",,12900048,[16600019],[]
,12300049,123000491,斑目一角,123000492,该灵魂装备后增加主角体质和物理攻击，且释放技能后概率释放【鬼灯舞卷】,12300049,1,4,TRUE,1,12800108,"[453,1360,2719,4532,6798]","[363,1088,2175,3626,5438]",1,12800103,"[462,482,502,524,546,570,596,622,649,677,707,738,772,808,845,883,924,967,1012,1059,1109,1162,1215,1272,1332,1395,1461,1531,1603,1680,1761,1846,1936,2030,2128,2230,2338,2452,2571,2696,2827,2964,3109,3261,3421,3588,3764,3949,4144,4347,4561,4786,5022,5269,5529,5802,6089,6390,6705,7037,7385,7750,8133,8537,8960,9405,9872,10363,10877,11417,11984,12579,13204,13861,14550,15274,16034,16833,17671,18552]","[46,48,50,52,55,57,60,62,65,68,71,74,77,81,84,88,92,97,101,106,111,116,122,127,133,139,146,153,160,168,176,185,194,203,213,223,234,245,257,270,283,296,311,326,342,359,376,395,414,435,456,479,502,527,553,580,609,639,671,704,738,775,813,854,896,940,987,1036,1088,1142,1198,1258,1320,1386,1455,1527,1603,1683,1767,1855]",1,"[1000,1110,1220,1330,1440,1550,1660,1770,1880,1990,2100]","[15104301,15104302,15104303,15104304,15104305]",12900049,"[16600004,16600038]","[79,30_Ikaku]"
,12300050,123000501,绫濑川弓亲,123000502,该灵魂装备后增加主角精神和灵压强度，且增加【琉璃风华】技能的伤害,12300050,3,4,TRUE,1,12800110,"[458,1373,2746,4576,6864]","[366,1098,2196,3661,5491]",1,12800122,"[429,448,466,486,507,529,553,577,602,628,656,685,717,750,784,819,858,897,939,983,1029,1078,1128,1181,1236,1294,1356,1421,1488,1559,1634,1713,1796,1883,1974,2069,2169,2275,2386,2502,2623,2751,2885,3026,3174,3330,3493,3664,3845,4034,4233,4441,4660,4889,5131,5384,5650,5930,6222,6529,6852,7191,7547,7922,8314,8727,9161,9616,10093,10594,11120,11672,12253,12862,13501,14173,14879,15620,16398,17215]","[43,45,47,49,51,53,55,58,60,63,66,68,72,75,78,82,86,90,94,98,103,108,113,118,124,129,136,142,149,156,163,171,180,188,197,207,217,227,239,250,262,275,289,303,317,333,349,366,385,403,423,444,466,489,513,538,565,593,622,653,685,719,755,792,831,873,916,962,1009,1059,1112,1167,1225,1286,1350,1417,1488,1562,1640,1722]",1,"[1000,1110,1220,1330,1440,1550,1660,1770,1880,1990,2100]","[15104101,15104102,15104103,15104104,15104105]",12900050,[16600004],[]
,12300051,123000511,涅茧利,123000512,该灵魂装备后增加主角灵力和血量，且增加【毒爆】伤害，释放后原地留下毒雾,12300051,3,4,TRUE,1,12800111,"[510,1531,3062,5104,7656]","[408,1225,2450,4083,6125]",1,12800101,"[2354,2455,2557,2665,2781,2904,3034,3164,3301,3446,3598,3757,3931,4111,4299,4495,4704,4921,5153,5391,5645,5912,6187,6476,6780,7098,7438,7792,8161,8552,8964,9398,9854,10331,10830,11351,11900,12479,13086,13723,14388,15090,15827,16601,17411,18264,19161,20101,21092,22126,23218,24361,25562,26820,28143,29532,30993,32526,34131,35816,37588,39447,41400,43453,45609,47872,50252,52747,55365,58113,60998,64029,67211,70552,74059,77748,81617,85681,89948,94432]","[47,49,51,53,56,58,61,63,66,69,72,75,79,82,86,90,94,98,103,108,113,118,124,130,136,142,149,156,163,171,179,188,197,207,217,227,238,250,262,274,288,302,317,332,348,365,383,402,422,443,464,487,511,536,563,591,620,651,683,716,752,789,828,869,912,957,1005,1055,1107,1162,1220,1281,1344,1411,1481,1555,1632,1714,1799,1889]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15103001,15103002,15103003,15103004,15103005]",12900051,[16600020],"[40_Mayuri,N_027]"
,12300052,123000521,涅茧利<卍解>,123000522,该灵魂装备后增加主角体质和血量，且【肉飞沫】释放过程中回复生命,12300052,3,5,TRUE,1,12800108,"[766,2298,4595,7659,11488]","[613,1838,3676,6127,9191]",1,12800101,"[4708,4911,5113,5330,5561,5807,6068,6328,6603,6892,7196,7514,7861,8223,8599,8989,9409,9843,10306,10783,11289,11824,12374,12953,13560,14196,14876,15585,16323,17104,17928,18796,19707,20662,21660,22701,23801,24958,26173,27445,28776,30179,31654,33202,34822,36529,38322,40203,42184,44253,46437,48722,51123,53640,56287,59064,61985,65052,68263,71633,75177,78894,82799,86907,91217,95744,100503,105493,110729,116225,121997,128057,134421,141104,148119,155495,163233,171362,179896,188864]","[94,98,102,107,111,116,121,127,132,138,144,150,157,164,172,180,188,197,206,216,226,236,247,259,271,284,298,312,326,342,359,376,394,413,433,454,476,499,523,549,576,604,633,664,696,731,766,804,844,885,929,974,1022,1073,1126,1181,1240,1301,1365,1433,1504,1578,1656,1738,1824,1915,2010,2110,2215,2325,2440,2561,2688,2822,2962,3110,3265,3427,3598,3777]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15103101,15103102,15103103,15103104,15103105]",12900052,"[16600042,16600043]","[38_Mayuri,40_Mayuri]"
,12300053,123000531,涅音梦,123000532,该灵魂装备后增加主角体质和灵力防御,12300053,2,3,TRUE,1,12800108,"[77,230,461,768,1152]","[61,184,369,614,922]",1,12800106,"[232,242,252,263,275,287,300,312,326,340,355,371,388,406,425,444,465,486,509,532,557,584,611,640,670,701,735,770,806,845,885,928,973,1020,1070,1121,1175,1232,1292,1355,1421,1490,1563,1640,1720,1804,1892,1985,2083,2185,2293,2406,2524,2649,2779,2917,3061,3212,3371,3537,3712,3896,4089,4292,4504,4728,4963,5209,5468,5739,6024,6324,6638,6968,7314,7678,8061,8462,8883,9326]","[23,24,25,26,27,29,30,31,33,34,36,37,39,41,42,44,46,49,51,53,56,58,61,64,67,70,73,77,81,84,89,93,97,102,107,112,118,123,129,136,142,149,156,164,172,180,189,199,208,219,229,241,252,265,278,292,306,321,337,354,371,390,409,429,450,473,496,521,547,574,602,632,664,697,731,768,806,846,888,933]",1,"[1000,1080,1160,1240,1320,1400,1480,1560,1640,1720,1800]",,12900053,[16600020],[]
,12300054,123000541,浮竹十四郎,123000542,该灵魂装备后增加主角灵力和灵压强度，且受击增加双鱼理技能伤害最多叠加3层,12300054,3,5,TRUE,1,12800111,"[793,2380,4761,7935,11902]","[635,1904,3809,6348,9522]",1,12800122,"[842,878,914,953,994,1038,1085,1131,1180,1232,1286,1343,1405,1470,1537,1607,1682,1760,1842,1928,2018,2114,2212,2315,2424,2538,2659,2786,2918,3057,3205,3360,3523,3694,3872,4058,4255,4461,4679,4906,5144,5395,5659,5935,6225,6530,6851,7187,7541,7911,8301,8710,9139,9589,10062,10558,11081,11629,12203,12805,13439,14103,14801,15536,16306,17115,17966,18858,19794,20777,21808,22892,24029,25224,26478,27796,29180,30633,32158,33761]","[84,88,91,95,99,104,108,113,118,123,129,134,141,147,154,161,168,176,184,193,202,211,221,232,242,254,266,279,292,306,320,336,352,369,387,406,425,446,468,491,514,539,566,594,622,653,685,719,754,791,830,871,914,959,1006,1056,1108,1163,1220,1281,1344,1410,1480,1554,1631,1712,1797,1886,1979,2078,2181,2289,2403,2522,2648,2780,2918,3063,3216,3376]",1,"[1000,1110,1220,1330,1440,1550,1660,1770,1880,1990,2100]","[15103201,15103202,15103203,15103204,15103205]",12900054,"[16600021,16600031]","[45_Ukitake,49_Ukitake]"
,12300055,123000551,志波海燕,123000552,该灵魂装备后增加主角精神和物理防御，且技能命中后概率进入免疫控制类状态,12300055,2,4,FALSE,1,12800110,"[427,1280,2561,4268,6402]","[341,1024,2049,3414,5122]",1,12800104,"[417,435,452,472,492,514,537,560,584,610,637,665,696,728,761,796,833,871,912,954,999,1046,1095,1146,1200,1256,1316,1379,1444,1514,1587,1663,1744,1828,1917,2009,2106,2209,2316,2429,2547,2671,2801,2938,3082,3233,3391,3558,3733,3916,4109,4312,4524,4747,4981,5227,5485,5757,6041,6339,6653,6982,7327,7691,8072,8473,8894,9336,9799,10285,10796,11332,11896,12487,13108,13761,14445,15165,15920,16714]","[42,43,45,47,49,51,54,56,58,61,64,66,70,73,76,80,83,87,91,95,100,105,110,115,120,126,132,138,144,151,159,166,174,183,192,201,211,221,232,243,255,267,280,294,308,323,339,356,373,392,411,431,452,475,498,523,549,576,604,634,665,698,733,769,807,847,889,934,980,1029,1080,1133,1190,1249,1311,1376,1445,1516,1592,1671]",1,"[1000,1130,1260,1390,1520,1650,1780,1910,2040,2170,2300]","[15103301,15103302,15103303,15103304,15103305]",12900055,"[16600047,16600048]",[]
,12300056,123000561,志波空鹤,123000562,该灵魂装备后增加主角灵力和血量,12300056,3,3,TRUE,1,12800111,"[73,218,437,728,1092]","[58,175,349,582,874]",1,12800101,"[1187,1238,1290,1344,1403,1465,1530,1596,1665,1738,1815,1895,1983,2074,2169,2267,2373,2482,2599,2720,2847,2982,3121,3267,3420,3581,3752,3931,4117,4314,4522,4741,4970,5211,5463,5726,6003,6295,6601,6922,7258,7612,7984,8374,8783,9213,9665,10140,10639,11161,11712,12288,12894,13529,14196,14897,15634,16407,17217,18067,18960,19898,20883,21919,23006,24148,25348,26607,27927,29314,30769,32298,33903,35588,37357,39218,41170,43220,45372,47634]","[24,25,26,27,28,29,31,32,33,35,36,38,40,41,43,45,47,50,52,54,57,60,62,65,68,72,75,79,82,86,90,95,99,104,109,115,120,126,132,138,145,152,160,167,176,184,193,203,213,223,234,246,258,271,284,298,313,328,344,361,379,398,418,438,460,483,507,532,559,586,615,646,678,712,747,784,823,864,907,953]",1,"[1000,1130,1260,1390,1520,1650,1780,1910,2040,2170,2300]",,12900056,"[16600044,16600048]",[]
,12300057,123000571,志波岩鹫,123000572,该灵魂装备后增加主角体质和灵力攻击,12300057,1,2,TRUE,1,12800108,"[51,153,306,510,765]","[41,122,245,408,612]",1,12800105,"[150,156,163,170,177,185,193,202,210,220,229,239,250,262,274,286,300,314,328,344,360,377,394,413,432,452,474,497,520,545,571,599,628,658,690,723,758,795,834,874,917,961,1008,1058,1109,1164,1221,1281,1344,1410,1479,1552,1629,1709,1793,1882,1975,2072,2175,2282,2395,2513,2638,2769,2906,3050,3202,3361,3528,3703,3887,4080,4282,4495,4719,4954,5200,5459,5731,6017]","[15,16,16,17,18,19,19,20,21,22,23,24,25,26,27,29,30,31,33,34,36,38,39,41,43,45,47,50,52,54,57,60,63,66,69,72,76,80,83,87,92,96,101,106,111,116,122,128,134,141,148,155,163,171,179,188,197,207,217,228,240,251,264,277,291,305,320,336,353,370,389,408,428,450,472,495,520,546,573,602]",1,"[1000,1060,1120,1180,1240,1300,1360,1420,1480,1540,1600]",,12900057,"[16600039,16600048]",[]
,12300058,123000581,朽木露琪亚<死神>,123000582,该灵魂装备后增加主角精神和灵力防御，且释放【初舞月白】前瞬移，并提升伤害,12300058,2,4,TRUE,1,12800110,"[480,1439,2878,4796,7194]","[384,1151,2302,3837,5755]",1,12800106,"[412,430,448,467,487,509,532,554,578,604,630,658,689,720,753,788,824,862,903,945,989,1036,1084,1135,1188,1244,1303,1365,1430,1498,1571,1647,1727,1810,1898,1989,2085,2187,2293,2405,2521,2644,2773,2909,3051,3200,3357,3522,3696,3877,4068,4269,4479,4699,4931,5175,5431,5699,5981,6276,6586,6912,7254,7614,7992,8388,8805,9242,9701,10183,10688,11219,11777,12362,12977,13623,14301,15013,15761,16546]","[41,43,45,47,49,51,53,55,58,60,63,66,69,72,75,79,82,86,90,94,99,104,108,113,119,124,130,137,143,150,157,165,173,181,190,199,209,219,229,240,252,264,277,291,305,320,336,352,370,388,407,427,448,470,493,517,543,570,598,628,659,691,725,761,799,839,881,924,970,1018,1069,1122,1178,1236,1298,1362,1430,1501,1576,1655]",1,"[1000,1130,1260,1390,1520,1650,1780,1910,2040,2170,2300]","[15103401,15103402,15103403,15103404,15103405]",12900058,"[16600021,16600047,16600056]","[66_Rukia,67_Rukia]"
,12300059,123000591,朽木露琪亚,123000592,该灵魂装备后增加主角力量和灵力防御,12300059,2,3,TRUE,1,12800109,"[91,274,547,912,1368]","[73,219,438,730,1094]",1,12800106,"[247,258,269,280,292,305,319,333,347,362,378,395,413,432,452,473,495,517,542,567,593,622,650,681,713,746,782,819,858,899,942,988,1036,1086,1139,1193,1251,1312,1376,1443,1513,1586,1664,1745,1830,1920,2014,2113,2217,2326,2441,2561,2687,2820,2959,3105,3258,3420,3588,3765,3952,4147,4352,4568,4795,5033,5283,5545,5821,6110,6413,6731,7066,7417,7786,8174,8581,9008,9456,9928]","[25,26,27,28,29,31,32,33,35,36,38,39,41,43,45,47,49,52,54,57,59,62,65,68,71,75,78,82,86,90,94,99,104,109,114,119,125,131,138,144,151,159,166,175,183,192,201,211,222,233,244,256,269,282,296,310,326,342,359,377,395,415,435,457,479,503,528,555,582,611,641,673,707,742,779,817,858,901,946,993]",1,"[1000,1130,1260,1390,1520,1650,1780,1910,2040,2170,2300]",,12900059,"[16600001,16600046]","[N_003,69_Rukia]"
,12300060,123000601,四枫院夜一,123000602,该灵魂装备后增加主角力量和灵力攻击，且击中敌人时，概率增加移速,12300060,1,4,TRUE,1,12800111,"[515,1544,3089,5148,7722]","[412,1236,2471,4118,6178]",1,12800105,"[483,504,525,547,571,596,623,650,678,708,739,771,807,844,883,923,966,1010,1058,1107,1159,1214,1270,1330,1392,1457,1527,1600,1676,1756,1840,1929,2023,2121,2223,2330,2443,2562,2687,2817,2954,3098,3249,3408,3575,3750,3934,4127,4330,4543,4767,5002,5248,5506,5778,6063,6363,6678,7008,7353,7717,8099,8500,8921,9364,9829,10317,10829,11367,11931,12524,13146,13799,14485,15205,15962,16757,17591,18467,19388]","[48,50,52,55,57,60,62,65,68,71,74,77,81,84,88,92,97,101,106,111,116,121,127,133,139,146,153,160,168,176,184,193,202,212,222,233,244,256,269,282,295,310,325,341,357,375,393,413,433,454,477,500,525,551,578,606,636,668,701,735,772,810,850,892,936,983,1032,1083,1137,1193,1252,1315,1380,1448,1521,1596,1676,1759,1847,1939]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15103501,15103502,15103503,15103504,15103505]",12900060,"[16600022,16600050]","[77_Yoruichi,78_Yoruichi]"
,12300061,123000611,四枫院夜一<猫>,123000612,该灵魂装备后增加主角体质和灵压强度,12300061,3,2,TRUE,1,12800108,"[72,216,432,720,1080]","[58,173,346,576,864]",1,12800122,"[193,202,210,219,228,238,249,260,271,283,295,309,323,338,353,369,386,404,423,443,464,486,508,532,557,583,611,640,670,702,736,772,809,848,889,932,977,1025,1075,1127,1182,1239,1300,1363,1430,1500,1574,1651,1732,1817,1907,2001,2099,2203,2311,2425,2545,2671,2803,2941,3087,3240,3400,3569,3746,3931,4127,4332,4547,4772,5009,5258,5520,5794,6082,6385,6703,7036,7387,7755]","[19,20,21,22,23,24,25,26,27,28,30,31,32,34,35,37,39,40,42,44,46,49,51,53,56,58,61,64,67,70,74,77,81,85,89,93,98,102,107,113,118,124,130,136,143,150,157,165,173,182,191,200,210,220,231,243,255,267,280,294,309,324,340,357,375,393,413,433,455,477,501,526,552,579,608,638,670,704,739,776]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]",,12900061,[16600044],[]
,12300062,123000621,四枫院夜一<瞬閧>,123000622,该灵魂装备后增加主角精神和物理攻击，且击中敌人时，概率增加移速和闪避,12300062,1,5,TRUE,1,12800110,"[807,2422,4844,8073,12110]","[646,1938,3875,6458,9688]",1,12800105,"[967,1008,1050,1094,1142,1192,1246,1299,1356,1415,1477,1543,1614,1688,1765,1846,1932,2021,2116,2214,2318,2428,2540,2659,2784,2915,3054,3200,3351,3512,3681,3859,4046,4242,4447,4661,4886,5124,5373,5635,5908,6196,6499,6817,7149,7500,7868,8254,8661,9085,9534,10003,10496,11013,11556,12126,12726,13356,14015,14707,15434,16198,16999,17843,18728,19657,20634,21659,22734,23862,25047,26291,27598,28970,30410,31925,33513,35182,36934,38776]","[97,101,105,109,114,119,125,130,136,142,148,154,161,169,177,185,193,202,212,221,232,243,254,266,278,291,305,320,335,351,368,386,405,424,445,466,489,512,537,563,591,620,650,682,715,750,787,825,866,909,953,1000,1050,1101,1156,1213,1273,1336,1402,1471,1543,1620,1700,1784,1873,1966,2063,2166,2273,2386,2505,2629,2760,2897,3041,3192,3351,3518,3693,3878]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15103601,15103602,15103603,15103604,15103605]",12900062,"[16600028,16600051]",[N_011]
,12300063,123000631,西堂荣吉郎,123000632,该灵魂装备后增加主角力量和物理攻击,12300063,1,2,TRUE,1,12800109,"[56,167,335,558,837]","[45,134,268,446,670]",1,12800103,"[152,158,165,172,179,187,195,204,213,222,232,242,253,265,277,290,303,317,332,347,364,381,399,417,437,457,479,502,526,551,578,605,635,666,698,731,767,804,843,884,927,972,1020,1070,1122,1177,1234,1295,1359,1425,1496,1569,1647,1728,1813,1903,1997,2095,2199,2307,2422,2541,2667,2799,2938,3084,3237,3398,3567,3744,3930,4125,4330,4545,4771,5009,5258,5520,5795,6084]","[15,16,16,17,18,19,20,20,21,22,23,24,25,26,28,29,30,32,33,35,36,38,40,42,44,46,48,50,53,55,58,61,63,67,70,73,77,80,84,88,93,97,102,107,112,118,123,130,136,143,150,157,165,173,181,190,200,210,220,231,242,254,267,280,294,308,324,340,357,374,393,413,433,455,477,501,526,552,579,608]",1,"[1000,1080,1160,1240,1320,1400,1480,1560,1640,1720,1800]",,12900063,[16600046],[]
,12300064,123000641,有泽龙贵,123000642,该灵魂装备后增加主角精神和灵力攻击,12300064,1,2,TRUE,1,12800110,"[50,149,299,498,747]","[40,120,239,398,598]",1,12800105,"[145,151,157,164,171,179,187,195,203,212,222,231,242,253,265,277,290,303,317,332,348,364,381,399,418,437,458,480,503,527,552,579,607,636,667,699,733,769,806,845,886,929,975,1023,1072,1125,1180,1238,1299,1363,1430,1500,1574,1652,1733,1819,1909,2003,2102,2206,2315,2430,2550,2676,2809,2949,3095,3249,3410,3579,3757,3944,4140,4345,4562,4789,5027,5277,5540,5816]","[14,15,16,16,17,18,19,19,20,21,22,23,24,25,26,28,29,30,32,33,35,36,38,40,42,44,46,48,50,53,55,58,61,64,67,70,73,77,81,85,89,93,97,102,107,112,118,124,130,136,143,150,157,165,173,182,191,200,210,221,232,243,255,268,281,295,310,325,341,358,376,394,414,435,456,479,503,528,554,582]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]",,12900064,"[16600023,16600058]",[]
,12300065,123000651,井上昊,123000652,该灵魂装备后增加主角体质和灵力攻击,12300065,1,2,TRUE,1,12800108,"[54,162,324,540,810]","[43,130,259,432,648]",1,12800105,"[148,155,161,168,175,183,191,199,208,217,227,237,248,259,271,283,296,310,325,340,356,373,390,408,427,447,469,491,514,539,565,592,621,651,682,715,750,786,825,865,907,951,997,1046,1097,1151,1207,1267,1329,1394,1463,1535,1611,1690,1773,1861,1953,2049,2151,2257,2368,2486,2609,2738,2874,3016,3166,3324,3488,3662,3843,4034,4235,4445,4666,4899,5143,5399,5668,5950]","[15,15,16,17,18,18,19,20,21,22,23,24,25,26,27,28,30,31,32,34,36,37,39,41,43,45,47,49,51,54,56,59,62,65,68,72,75,79,82,86,91,95,100,105,110,115,121,127,133,139,146,153,161,169,177,186,195,205,215,226,237,249,261,274,287,302,317,332,349,366,384,403,423,445,467,490,514,540,567,595]",1,"[1000,1030,1060,1090,1120,1150,1180,1210,1240,1270,1300]",,12900065,[16600024],[]
,12300066,123000661,柴田勇一,123000662,该灵魂装备后增加主角灵力和灵压强度,12300066,3,2,TRUE,1,12800111,"[55,166,331,552,828]","[44,132,265,442,662]",1,12800122,"[147,153,159,166,173,181,189,197,206,215,224,234,245,256,268,280,293,307,321,336,352,368,385,403,422,442,463,485,508,533,558,586,614,644,675,707,741,777,815,855,896,940,986,1034,1085,1138,1194,1252,1314,1378,1447,1518,1593,1671,1753,1840,1931,2026,2126,2231,2342,2458,2579,2707,2841,2982,3131,3286,3449,3620,3800,3989,4187,4395,4614,4844,5085,5338,5604,5883]","[15,15,16,17,17,18,19,20,21,21,22,23,24,26,27,28,29,31,32,34,35,37,39,40,42,44,46,49,51,53,56,59,61,64,67,71,74,78,82,85,90,94,99,103,108,114,119,125,131,138,145,152,159,167,175,184,193,203,213,223,234,246,258,271,284,298,313,329,345,362,380,399,419,440,461,484,508,534,560,588]",1,"[1000,1060,1120,1180,1240,1300,1360,1420,1480,1540,1600]",,12900066,[16600045],[]
,12300067,123000671,魂,123000672,该灵魂装备后增加主角灵力和物理攻击,12300067,1,2,TRUE,1,12800111,"[53,160,320,534,801]","[43,128,256,427,641]",1,12800103,"[165,172,179,187,195,204,213,222,231,242,252,263,275,288,301,315,330,345,361,378,396,414,434,454,475,498,521,546,572,599,628,659,691,724,759,796,834,875,917,962,1008,1058,1109,1164,1220,1280,1343,1409,1478,1551,1627,1707,1792,1880,1973,2070,2172,2280,2392,2510,2635,2765,2902,3046,3197,3355,3522,3697,3880,4073,4275,4488,4711,4945,5191,5449,5720,6005,6304,6619]","[16,17,18,19,19,20,21,22,23,24,25,26,28,29,30,32,33,34,36,38,40,41,43,45,48,50,52,55,57,60,63,66,69,72,76,80,83,87,92,96,101,106,111,116,122,128,134,141,148,155,163,171,179,188,197,207,217,228,239,251,263,276,290,305,320,336,352,370,388,407,428,449,471,494,519,545,572,601,630,662]",1,"[1000,1090,1180,1270,1360,1450,1540,1630,1720,1810,1900]",,12900067,"[16600001,16600054]","[26_Kon,27_Kon,28_Kon]"
,12300068,123000681,黑崎真咲,123000682,该灵魂装备后增加主角灵力和灵力防御，且减少被暴击的概率,12300068,2,5,TRUE,1,12800111,"[842,2525,5051,8418,12627]","[673,2020,4041,6734,10102]",1,12800106,"[983,1026,1068,1113,1161,1213,1267,1322,1379,1439,1503,1569,1642,1717,1796,1877,1965,2056,2152,2252,2358,2470,2584,2705,2832,2965,3107,3255,3409,3572,3744,3926,4116,4315,4524,4741,4971,5212,5466,5732,6010,6303,6611,6934,7273,7629,8004,8396,8810,9242,9698,10176,10677,11203,11755,12335,12946,13586,14257,14961,15701,16477,17293,18150,19051,19996,20990,22032,23126,24274,25479,26745,28074,29469,30935,32475,34091,35789,37571,39444]","[98,103,107,111,116,121,127,132,138,144,150,157,164,172,180,188,197,206,215,225,236,247,258,271,283,296,311,325,341,357,374,393,412,432,452,474,497,521,547,573,601,630,661,693,727,763,800,840,881,924,970,1018,1068,1120,1176,1234,1295,1359,1426,1496,1570,1648,1729,1815,1905,2000,2099,2203,2313,2427,2548,2674,2807,2947,3093,3248,3409,3579,3757,3944]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15103701,15103702,15103703,15103704,15103705]",12900068,[16600049],[]
,12300069,123000691,浅野启吾,123000692,该灵魂装备后增加主角精神和物理防御,12300069,2,2,TRUE,1,12800110,"[45,135,270,450,675]","[36,108,216,360,540]",1,12800104,"[132,137,143,149,156,162,170,177,185,193,201,210,220,230,240,251,263,275,288,302,316,331,346,362,379,397,416,436,456,478,501,526,551,578,606,635,666,698,732,768,805,844,885,928,974,1022,1072,1124,1180,1238,1299,1362,1430,1500,1574,1652,1733,1819,1909,2003,2102,2206,2315,2430,2551,2677,2811,2950,3096,3250,3412,3581,3759,3946,4142,4348,4565,4792,5031,5281]","[13,14,14,15,16,16,17,18,18,19,20,21,22,23,24,25,26,28,29,30,32,33,35,36,38,40,42,44,46,48,50,53,55,58,61,63,67,70,73,77,80,84,89,93,97,102,107,112,118,124,130,136,143,150,157,165,173,182,191,200,210,221,232,243,255,268,281,295,310,325,341,358,376,395,414,435,456,479,503,528]",1,"[1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500]",,12900069,"[16600023,16600058]",[]
,12300070,123000701,袖屋雨,123000702,该灵魂装备后增加主角力量和灵力攻击,12300070,1,3,TRUE,1,12800109,"[77,230,461,768,1152]","[61,184,369,614,922]",1,12800105,"[250,261,271,283,295,308,322,336,351,366,382,399,417,437,457,477,500,523,547,573,599,628,657,688,720,754,790,828,867,908,952,998,1046,1097,1150,1205,1264,1325,1390,1457,1528,1602,1681,1763,1849,1940,2035,2135,2240,2350,2466,2587,2714,2848,2989,3136,3291,3454,3625,3804,3992,4189,4396,4615,4843,5084,5336,5601,5879,6171,6478,6799,7137,7492,7865,8256,8667,9099,9552,10028]","[25,26,27,28,30,31,32,34,35,37,38,40,42,44,46,48,50,52,55,57,60,63,66,69,72,75,79,83,87,91,95,100,105,110,115,121,126,133,139,146,153,160,168,176,185,194,203,213,224,235,247,259,271,285,299,314,329,345,362,380,399,419,440,461,484,508,534,560,588,617,648,680,714,749,786,826,867,910,955,1003]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]",,12900070,"[16600005,16600008]",[]
